date,value
1900-07-01T00:00:00,26.8
1901-07-01T00:00:00,27.6
1902-07-01T00:00:00,28.0
1903-07-01T00:00:00,26.7
1904-07-01T00:00:00,25.5
1905-07-01T00:00:00,27.1
1906-07-01T00:00:00,26.4
1907-07-01T00:00:00,27.1
1908-07-01T00:00:00,26.8
1909-07-01T00:00:00,26.9
1910-07-01T00:00:00,26.0
1911-07-01T00:00:00,25.4
1912-07-01T00:00:00,26.2
1913-07-01T00:00:00,27.3
1914-07-01T00:00:00,26.8
1915-07-01T00:00:00,26.9
1916-07-01T00:00:00,26.1
1917-07-01T00:00:00,26.2
1918-07-01T00:00:00,25.3
1919-07-01T00:00:00,26.4
1920-07-01T00:00:00,26.4
1921-07-01T00:00:00,27.2
1922-07-01T00:00:00,26.5
1923-07-01T00:00:00,25.3
1924-07-01T00:00:00,26.9
1925-07-01T00:00:00,27.6
1926-07-01T00:00:00,25.9
1927-07-01T00:00:00,26.8
1928-07-01T00:00:00,26.9
1929-07-01T00:00:00,26.2
1930-07-01T00:00:00,28.8
1931-07-01T00:00:00,27.5
1932-07-01T00:00:00,27.9
1933-07-01T00:00:00,25.9
1934-07-01T00:00:00,27.2
1935-07-01T00:00:00,27.3
1936-07-01T00:00:00,27.3
1937-07-01T00:00:00,26.2
1938-07-01T00:00:00,26.8
1939-07-01T00:00:00,27.45
1940-07-01T00:00:00,25.6
1941-07-01T00:00:00,26.6
1942-07-01T00:00:00,26.6
1943-07-01T00:00:00,27.2
1945-07-01T00:00:00,27.4
1946-07-01T00:00:00,26.6
1947-07-01T00:00:00,25.6
1948-07-01T00:00:00,27.6
1949-07-01T00:00:00,27.7
1950-07-01T00:00:00,26.3
1951-07-01T00:00:00,27.9
1952-07-01T00:00:00,28.4
1953-07-01T00:00:00,27.2
1954-07-01T00:00:00,28.5
1955-07-01T00:00:00,27.3
1956-07-01T00:00:00,27.1
1958-07-01T00:00:00,27.2
1959-07-01T00:00:00,27.8
1960-07-01T00:00:00,28.4
1961-07-01T00:00:00,26.7
1962-07-01T00:00:00,28.5
1963-07-01T00:00:00,27.2
1964-07-01T00:00:00,25.9
1965-07-01T00:00:00,27.1
1966-07-01T00:00:00,27.7
1967-07-01T00:00:00,25.2
1968-07-01T00:00:00,26.7
1969-07-01T00:00:00,27.9
1970-07-01T00:00:00,27.3
1973-07-01T00:00:00,27.4
1974-07-01T00:00:00,26.8
2002-07-01T00:00:00,26.9
2003-07-01T00:00:00,26.1
2004-07-01T00:00:00,28.5
2005-07-01T00:00:00,26.6
2006-07-01T00:00:00,28.1
